dir,name,outcome,reps,ns_per_iter
sparse,test_sparse18,pass,580,184482.8
sparse,test_sparse19,pass,583,183533.4
sparse,test_sparse2,pass,506,213438.7
sparse,test_sparse22,pass,1,193000000.0
sparse,test_sparse23,pass,1,197000000.0
sparse,test_sparse24,pass,418,253588.5
sparse,test_sparse25,pass,1,247000000.0
sparse,test_sparse26,pass,1,239000000.0
sparse,test_sparse27,pass,638,163009.4
sparse,test_sparse28,pass,580,182758.6
sparse,test_sparse29,pass,539,189239.3
sparse,test_sparse3,pass,460,223913.0
sparse,test_sparse30,pass,460,221739.1
sparse,test_sparse31,pass,583,188679.2
sparse,test_sparse32,pass,530,200000.0
sparse,test_sparse33,pass,418,258373.2
sparse,test_sparse34,pass,580,177586.2
sparse,test_sparse35,pass,198,550505.1
sparse,test_sparse36,pass,473,232558.1
sparse,test_sparse4,pass,473,219873.2
sparse,test_sparse45,error,0,0.0
sparse,test_sparse5,pass,384,276041.7
sparse,test_sparse57,pass,1,201000000.0
sparse,test_sparse6,pass,384,276041.7
sparse,test_sparse62,pass,1,2214000000.0
sparse,test_sparse7,pass,638,169279.0
sparse,test_sparse8,pass,506,209486.2
sparse,test_sparse9,pass,490,212244.9
string,test_deblank_1,pass,3520,30397.7
string,test_strcmp1,pass,1408,75994.3
string,test_strcmp2,pass,1408,75994.3
suite,test_assign1,pass,1177,88360.2
suite,test_assign10,pass,2563,41357.8
suite,test_assign11,pass,2563,39797.1
suite,test_assign12,pass,960,112500.0
suite,test_assign13,pass,4026,27570.8
suite,test_assign14,pass,583,186964.0
suite,test_assign15,pass,2343,46948.4
suite,test_assign16,pass,230,473913.0
suite,test_assign17,pass,3660,28415.3
suite,test_assign18,pass,3843,26281.6
suite,test_assign19,pass,2840,35563.4
suite,test_assign2,pass,2343,44814.3
suite,test_assign20,pass,710,149295.8
suite,test_assign21,pass,880,122727.3
suite,test_assign22,pass,2816,39062.5
suite,test_assign3,pass,2343,44387.5
suite,test_assign4,pass,1177,91758.7
suite,test_assign5,pass,1280,82812.5
suite,test_assign6,pass,2330,44206.0
suite,test_assign7,pass,4270,25995.3
suite,test_assign8,pass,4270,25761.1
suite,test_assign9,pass,2816,38707.4
suite,test_assignin1,pass,2816,36931.8
suite,test_assignin2,pass,2167,51222.9
suite,test_bin2int1,pass,1177,92608.3
suite,test_bitand1,pass,1408,78125.0
suite,test_bitor1,pass,1280,78906.2
suite,test_bitxor1,pass,1408,78125.0
suite,test_builtin1,pass,3520,29829.5
suite,test_call1,pass,539,196660.5
suite,test_call2,pass,539,196660.5
suite,test_call3,pass,1280,78906.2
suite,test_call4,pass,1280,84375.0
suite,test_cell1,pass,2330,46351.9
suite,test_clear1,pass,33,3333333.3
suite,test_clear2,pass,30,3366666.7
suite,test_continue1,pass,5120,20898.4
suite,test_contour1,error,0,0.0
suite,test_conv2_1,pass,638,170846.4
suite,test_ctype1,pass,963,109034.3
suite,test_dcomplex1,pass,2816,38707.4
suite,test_deblank_1,pass,3520,30681.8
suite,test_det1,pass,230,460869.6
suite,test_diag1,pass,1001,106893.1
suite,test_diag2,pass,1001,108891.1
suite,test_diag3,pass,1152,92881.9
suite,test_diag4,pass,1001,100899.1
suite,test_diag5,pass,2840,35915.5
suite,test_dlmread1,pass,530,190566.0
suite,test_eig1,pass,1,2139000000.0
suite,test_eig2,pass,1,841000000.0
suite,test_eig3,pass,800,127500.0
suite,test_eig4,pass,1,3963000000.0
suite,test_eig5,pass,1,1509000000.0
suite,test_eig6,pass,1562,70422.5
suite,test_empty,pass,880,122727.3
suite,test_eps1,pass,1070,100000.0
suite,test_error1,pass,2563,42918.5
suite,test_eval1,pass,1710,60818.7
suite,test_eval2,pass,460,230434.8
suite,test_eval3,pass,30,3366666.7
suite,test_evalin1,pass,1001,102897.1
suite,test_evalin2,pass,781,134443.0
suite,test_exist1,pass,2560,41796.9
suite,test_exist2,pass,3660,28688.5
suite,test_fcall1,pass,1070,99065.4
suite,test_fcall2,pass,1280,85156.2
suite,test_feval1,pass,3660,29508.2
suite,test_fieldnames1,pass,2167,50300.0
suite,test_file1,error,0,0.0
suite,test_fitfun1,pass,30,3433333.3
suite,test_fitfun2,pass,2,63000000.0
suite,test_fitfun3,pass,568,177816.9
suite,test_for1,pass,1092,98901.1
suite,test_for2,pass,800,127500.0
suite,test_for3,pass,1001,101898.1
suite,test_for4,pass,1001,109890.1
suite,test_gausfit1,pass,18,6166666.7
suite,test_getfield1,pass,640,162500.0
suite,test_getfield2,pass,396,272727.3
suite,test_global1,pass,539,204081.6
suite,test_if1,pass,4608,23654.5
suite,test_if2,pass,4697,23419.2
suite,test_if3,pass,4270,26229.5
suite,test_if4,pass,3660,30054.6
suite,test_image1,error,0,0.0
suite,test_imwrite_imread,error,0,0.0
suite,test_int2bin1,pass,1070,102803.7
suite,test_iscellstr1,pass,460,230434.8
suite,test_iscellstr2,pass,460,228260.9
suite,test_isfield1,pass,132,772727.3
suite,test_isfloat1,pass,440,238636.4
suite,test_isinteger1,pass,384,283854.2
suite,test_isset1,pass,1881,57947.9
suite,test_jit,pass,1001,109890.1
suite,test_lasterr1,pass,2330,46781.1
suite,test_load1,pass,720,140277.8
suite,test_lu1,pass,120,841666.7
suite,test_lu2,pass,99,1070707.1
suite,test_matcat1,pass,1070,98130.8
suite,test_matcat2,pass,580,175862.1
suite,test_matcat3,pass,580,179310.3
suite,test_matcat4,pass,1070,98130.8
suite,test_matcat5,pass,1070,97196.3
suite,test_matcat6,pass,1070,98130.8
suite,test_matcat7,pass,2167,50761.4
suite,test_matcat8,pass,2013,54148.0
suite,test_nargin1,pass,1881,57947.9
suite,test_nargin2,pass,1710,59064.3
suite,test_num2str1,pass,1177,86661.0
suite,test_ones1,pass,2840,35563.4
suite,test_parallel_fft1,pass,1,662000000.0
suite,test_permute1,pass,430,239534.9
suite,test_permute2,pass,180,561111.1
suite,test_persistent1,pass,506,215415.0
suite,test_persistent2,pass,3520,30113.6
suite,test_plot1,error,0,0.0
suite,test_power1,pass,640,167187.5
suite,test_qr1,pass,230,469565.2
suite,test_qr10,pass,1,590000000.0
suite,test_qr11,pass,1,647000000.0
suite,test_qr12,pass,1,318000000.0
suite,test_qr2,pass,230,473913.0
suite,test_qr3,pass,216,504629.6
suite,test_qr4,pass,220,500000.0
suite,test_qr5,pass,200,530000.0
suite,test_qr6,pass,198,535353.5
suite,test_qr7,pass,180,572222.2
suite,test_qr8,pass,192,567708.3
suite,test_qr9,pass,1,548000000.0
suite,test_range1,pass,1280,85937.5
suite,test_range2,pass,1177,93457.9
suite,test_range3,pass,1280,85156.2
suite,test_range4,pass,1280,85156.2
suite,test_range5,pass,1177,87510.6
suite,test_range6,pass,1177,90909.1
suite,test_range7,pass,1152,90277.8
suite,test_range8,pass,1177,91758.7
suite,test_range9,pass,4026,26080.5
suite,test_repmat1,pass,1152,88541.7
suite,test_repmat2,pass,1177,88360.2
suite,test_repmat3,pass,1070,94392.5
suite,test_reshape1,pass,2013,53651.3
suite,test_reshape2,pass,1760,61363.6
suite,test_ret,pass,5124,20687.0
suite,test_save1,pass,539,200371.1
suite,test_seed1,pass,2013,54644.8
suite,test_size1,pass,583,188679.2
suite,test_size2,pass,539,198515.8
suite,test_size3,pass,1177,91758.7
