dir,name,outcome,reps,ns_per_iter
suite,test_assign12,pass,19773,5057.6
suite,test_assign13,pass,98625,1013.9
suite,test_assign14,pass,17174,5823.0
suite,test_assign15,pass,40624,2461.6
suite,test_assign16,pass,5971,16750.2
suite,test_assign17,pass,110888,901.8
suite,test_assign18,pass,151696,659.2
suite,test_assign19,pass,56141,1781.2
suite,test_assign2,pass,68945,1450.4
suite,test_assign20,pass,11137,8979.7
suite,test_assign21,pass,17277,5788.4
suite,test_assign22,pass,77676,1287.4
suite,test_assign3,pass,62916,1589.4
suite,test_assign4,pass,50423,1983.2
suite,test_assign5,pass,59136,1691.0
suite,test_assign6,pass,63710,1569.6
suite,test_assign7,pass,200000,487.9
suite,test_assign8,pass,200000,475.1
suite,test_assign9,pass,75551,1323.6
suite,test_assignin1,pass,110457,905.3
suite,test_assignin2,pass,79427,1259.0
suite,test_bin2int1,pass,22145,4515.7
suite,test_bitand1,pass,50053,1997.9
suite,test_bitor1,pass,50608,1976.0
suite,test_bitxor1,pass,49699,2012.1
suite,test_builtin1,pass,121228,824.9
suite,test_call1,pass,25426,3933.1
suite,test_call2,pass,22101,4524.7
suite,test_call3,pass,72508,1379.2
suite,test_call4,pass,55360,1806.4
suite,test_cell1,pass,57826,1729.4
suite,test_clear1,pass,105547,947.4
suite,test_clear2,pass,86606,1154.7
suite,test_continue1,pass,200000,223.6
suite,test_contour1,pass,86332,1158.3
suite,test_conv2_1,pass,6968,14351.6
suite,test_ctype1,error,0,0.0
suite,test_dcomplex1,pass,100790,992.2
suite,test_deblank_1,pass,151942,658.1
suite,test_det1,pass,48360,2067.8
suite,test_diag1,pass,22892,4368.4
suite,test_diag2,pass,22816,4383.0
suite,test_diag3,pass,29742,3362.3
suite,test_diag4,pass,23436,4267.1
suite,test_diag5,pass,125634,796.0
suite,test_dlmread1,pass,1780,56191.9
suite,test_eig1,pass,1,535107678.0
suite,test_eig2,pass,1,479734222.0
suite,test_eig3,pass,8454,11829.3
suite,test_eig4,pass,1,1511929002.0
suite,test_eig5,pass,1,1997894959.0
suite,test_eig6,pass,49090,2037.1
suite,test_empty,pass,10361,9652.2
suite,test_eps1,pass,38882,2571.9
suite,test_error1,pass,142639,701.1
suite,test_eval1,pass,72798,1373.7
suite,test_eval2,pass,3509,28499.3
